TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,MODEL
2031.25,0.029230941588349033,0.0,0.014140535921721237,0.9149479055921734,0.35649856473869684,0.5990917835476132,0.42265284678529697,0.0,0.6295270827382721,0.01701711275227986,0.0046602236266989165,0.023741739084877582,0.036074349536237296,0.008075639855131782,0.008075639855131782,0.008420728286647947,0.41598610894151705,0.2858195721884337,0.932233575196208,0.9757368837959888,0.4578523320605877,0.35649856473869684,Monaghan
2031.5,0.029263806084326292,0.0,0.01404030553481774,0.914929817099105,0.35238930817086733,0.5992901084331598,0.4212193891909989,0.0,0.6275564934020071,0.017070564394510317,0.004682960335313345,0.023779252294114154,0.035889192158675795,0.008150005716640764,0.008150005716640764,0.008460000399889932,0.4155830864390087,0.28660461697409906,0.9276647559974875,0.9696102074326322,0.46255930812186014,0.35238930817086733,Monaghan
2031.75,0.02929177071193687,0.0,0.013935066194608088,0.9149117209104428,0.3482135103467368,0.5999065885947796,0.4199902042799399,0.0,0.6256717951813889,0.01712363320795079,0.004705790121970932,0.023816867315248794,0.03569620643815555,0.008222469856781062,0.008222469856781062,0.008498121330728583,0.415251449720279,0.2874225949299979,0.923312240509214,0.9634175174710365,0.46713014815932213,0.3482135103467368,Monaghan
2032.0,0.02931482913042811,0.0,0.013825857720752998,0.9148936170212748,0.34399499958635227,0.600928693520845,0.4189560970599612,0.0,0.6238660832480551,0.01717632002039215,0.004728702910698999,0.023854610657810155,0.03549750046899046,0.008293099123720605,0.008293099123720605,0.008535207658615766,0.4149817674806282,0.28826930941473766,0.9191595682583416,0.9572032496305045,0.4715584560576611,0.34399499958635227,Monaghan
2032.25,0.029332977932826364,0.0,0.013713671505204243,0.9148936170212748,0.33975619815636254,0.6023425602772202,0.4181076452475322,0.0,0.6221327535898098,0.017228628635033737,0.004751689159946005,0.023892501227451613,0.035295079372776664,0.008361965088875333,0.008361965088875333,0.008571373657387181,0.41476516228977656,0.28914070893301075,0.9151908572494509,0.9510097346720895,0.4758388374467658,0.33975619815636254,Monaghan
2032.5,0.029346215210928932,0.0,0.013595714344488193,0.9148936170212748,0.3354288776209172,0.6041330737169643,0.4174445391160453,0.0,0.6204801266393456,0.01728031866563383,0.004774739936652698,0.023930441327076595,0.035083075528607816,0.008428819024703198,0.008428819024703198,0.00860624834832802,0.41461645677184583,0.2900468337580003,0.9114390709792749,0.9446601969484664,0.4800000273371527,0.3354288776209172,Monaghan
2032.75,0.029354543216256523,0.0,0.013473154002176035,0.9148936170212748,0.33104010992353594,0.6062961859594054,0.416961044759358,0.0,0.6189011426325074,0.01733139283502656,0.004797844417719411,0.023968449123144372,0.03486392617922838,0.008493730767195671,0.008493730767195671,0.008639962096690077,0.4145256398149627,0.2909830999875252,0.9078864919699027,0.938210424704252,0.4840334628899445,0.33104010992353594,Monaghan
2033.0,0.02935796707911602,0.0,0.013347085868790574,0.9148936170212748,0.3266149731471463,0.6088255350637917,0.4166508423577655,0.0,0.6173903011920144,0.017381861791748825,0.0048209926168968405,0.02400654170341792,0.034639898167786176,0.00855677475355941,0.00855677475355941,0.008672640475342606,0.414483541757159,0.2919451507322955,0.9045163220153406,0.9317122329428309,0.48793086526047436,0.3266149731471463,Monaghan
2033.25,0.029356494738408047,0.0,0.013218543613517111,0.9148936170212748,0.3221768782692661,0.6117126648866276,0.4165070799081472,0.0,0.6159425224734517,0.017431743861697102,0.004844175359736123,0.024044735501801143,0.03441311080241114,0.008618030123709467,0.008618030123709467,0.008704405306060882,0.41448172783426723,0.2929288180240535,0.9013125440452247,0.9252141624700638,0.49168524421604626,0.3221768782692661,Monaghan
2033.5,0.029353458826672597,0.0,0.013088502146559735,0.9148936170212748,0.3177752856661977,0.6149471787219108,0.4165224187586792,0.0,0.6145519151009391,0.01745199973210873,0.00486738426253156,0.02408304648745219,0.034185542690288825,0.00867758026541418,0.00867758026541418,0.008734340543998586,0.41323083187914367,0.29395996005267694,0.8983754266572861,0.9188542066630916,0.49546576268527276,0.3177752856661977,Monaghan
